Name	IP Address
LIB-SMDL-11	128.4.127.204
LIB-SMDL-12	128.4.106.135
LIB-SMDL-13	128.4.77.117
LIB-SMDL-14	128.4.125.90
LIB-SMDL-15	128.4.138.137
LIB-SMDL-16	128.4.92.18
LIB-SMDL-17	128.4.108.59
LIB-SMDL-18	128.4.99.177
LIB-SMDL-19	128.4.112.40
LIB-SMDL-20	128.4.121.53
LIB-SMDL-21	128.4.142.138
LIB-SMDL-22	128.4.148.194
LIB-SMDL-23	128.4.83.100
LIB-SMDL-24	128.4.120.25
LIB-SMDL-25	128.4.104.197
LIB-SMDL-26	192.168.1.175
LIB-SMDL-27	128.4.92.193
LIB-SMDL-28	128.4.115.10
LIB-SMDL-29	128.4.127.195
LIB-SMDL-30	128.4.115.17
LIB-SMDT-01	128.175.100.197
LIB-STDO-02	128.175.100.182
LIB-STDO-03	128.175.100.183
LIB-STDO-04	128.175.100.184
LIB-STDO-05	128.175.100.185
LIB-STDO-06	128.175.100.186
